"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Arizona","04","2006","2006",959,6029141,15.906
,"Arizona","04","2007","2007",981,6167681,15.905
,"Arizona","04","2008","2008",853,6280362,13.582
,"Arizona","04","2009","2009",1041,6343154,16.411
,"Arizona","04","2010","2010",1141,6392017,17.850
,"Arizona","04","2011","2011",1118,6482505,17.246
,"Arizona","04","2012","2012",1206,6553255,18.403
,"Arizona","04","2013","2013",1304,6626624,19.678
,"Arizona","04","2014","2014",1274,6731484,18.926
,"Arizona","04","2015","2015",1351,6828065,19.786
,"Arizona","04","2016","2016",1500,6931071,21.642
,"Arizona","04","2017","2017",1628,7016270,23.203
,"Arizona","04","2018","2018",1784,7171646,24.876
"Total","Arizona","04",,,20912,123379307,16.949
,"Arkansas","05","1999","1999",121,2651860,4.563
,"Arkansas","05","2000","2000",151,2673400,5.648
,"Arkansas","05","2001","2001",131,2691571,4.867
,"Arkansas","05","2002","2002",190,2705927,7.022
,"Arkansas","05","2003","2003",203,2724816,7.450
,"Arkansas","05","2004","2004",249,2749686,9.056
,"Arkansas","05","2005","2005",286,2781097,10.284
,"Arkansas","05","2006","2006",307,2821761,10.880
,"Arkansas","05","2007","2007",326,2848650,11.444
,"Arkansas","05","2008","2008",390,2874554,13.567
,"Arkansas","05","2009","2009",384,2896843,13.256
,"Arkansas","05","2010","2010",374,2915918,12.826
,"Arkansas","05","2011","2011",375,2937979,12.764
,"Arkansas","05","2012","2012",398,2949131,13.496
,"Arkansas","05","2013","2013",343,2959373,11.590
,"Arkansas","05","2014","2014",377,2966369,12.709
,"Arkansas","05","2015","2015",425,2978204,14.270
,"Arkansas","05","2016","2016",423,2988248,14.155
,"Arkansas","05","2017","2017",481,3004279,16.010
,"Arkansas","05","2018","2018",475,3013825,15.761
"Total","Arkansas","05",,,6409,57133491,11.218
,"California","06","1999","1999",3091,33499204,9.227
,"California","06","2000","2000",2301,33871648,6.793
,"California","06","2001","2001",1507,34479458,4.371
,"California","06","2002","2002",3418,34871843,9.802
,"California","06","2003","2003",3614,35253159,10.252
,"California","06","2004","2004",3681,35574576,10.347
,"California","06","2005","2005",3821,35827943,10.665
,"California","06","2006","2006",4026,36021202,11.177
,"California","06","2007","2007",4178,36250311,11.525
,"California","06","2008","2008",4147,36604337,11.329
,"California","06","2009","2009",4290,36961229,11.607
,"California","06","2010","2010",4258,37253956,11.430
,"California","06","2011","2011",4429,37691912,11.751
,"California","06","2012","2012",4304,38041430,11.314
,"California","06","2013","2013",4747,38332521,12.384
,"California","06","2014","2014",4816,38802500,12.412
,"California","06","2015","2015",5025,39144818,12.837
,"California","06","2016","2016",5094,39250017,12.978
,"California","06","2017","2017",5302,39536653,13.410
,"California","06","2018","2018",5771,39557045,14.589
"Total","California","06",,,81820,736825762,11.104
,"Colorado","08","1999","1999",375,4226018,8.874
,"Colorado","08","2000","2000",372,4301261,8.649
,"Colorado","08","2001","2001",444,4425687,10.032
,"Colorado","08","2002","2002",474,4490406,10.556
,"Colorado","08","2003","2003",529,4528732,11.681
,"Colorado","08","2004","2004",548,4575013,11.978
,"Colorado","08","2005","2005",640,4631888,13.817
,"Colorado","08","2006","2006",660,4720423,13.982
,"Colorado","08","2007","2007",747,4803868,15.550
,"Colorado","08","2008","2008",760,4889730,15.543
,"Colorado","08","2009","2009",784,4972195,15.768
,"Colorado","08","2010","2010",676,5029196,13.442
,"Colorado","08","2011","2011",852,5116796,16.651
,"Colorado","08","2012","2012",826,5187582,15.923
,"Colorado","08","2013","2013",864,5268367,16.400
