payor_plan_id,payor_plan,payor_plan_var
4560239,ADVANTRA FREEDOM GENERAL,
4560461,ADVANTRA FREEDOM GENERAL (KS),
4560462,ADVANTRA FREEDOM GENERAL (MO),
4560455,ADVANTRA GOLD (GA),
31151,ADVANTRA GOLD HMO (PA),
4560242,ADVANTRA GOLD MD ADV GENERAL(IL),
4560243,ADVANTRA GOLD MD ADV GENERAL(MO),
4560240,ADVANTRA GOLD MED ADV GENERAL,
31200,ADVANTRA GOLD PPO (PA),
4560238,ADVANTRA MED ADV GENERAL,
4560460,ADVANTRA MED ADV GENERAL (IA),
4560267,ADVANTRA MED ADV GENERAL (IL),
4560459,ADVANTRA MED ADV GENERAL (KS),
4560054,ADVANTRA MED ADV GENERAL (MO),
4560458,ADVANTRA MED ADV GENERAL (PA),
4560241,ADVANTRA PPO MED ADV GENERAL,
4560216,ADVANTRA RX PDP GENERAL,
4560269,ADVANTRA RX PDP GENERAL (AK),
4560268,ADVANTRA RX PDP GENERAL (AL),
4560271,ADVANTRA RX PDP GENERAL (AR),
4560270,ADVANTRA RX PDP GENERAL (AZ),
4560272,ADVANTRA RX PDP GENERAL (CA),
4560273,ADVANTRA RX PDP GENERAL (CO),
4560274,ADVANTRA RX PDP GENERAL (CT),
4560276,ADVANTRA RX PDP GENERAL (DC),
4560275,ADVANTRA RX PDP GENERAL (DE),
4560277,ADVANTRA RX PDP GENERAL (FL),
4560278,ADVANTRA RX PDP GENERAL (GA),
4560279,ADVANTRA RX PDP GENERAL (HI),
4560283,ADVANTRA RX PDP GENERAL (IA),
4560280,ADVANTRA RX PDP GENERAL (ID),
4560281,ADVANTRA RX PDP GENERAL (IL),
4560282,ADVANTRA RX PDP GENERAL (IN),
4560284,ADVANTRA RX PDP GENERAL (KS),
4560285,ADVANTRA RX PDP GENERAL (KY),
4560286,ADVANTRA RX PDP GENERAL (LA),
4560289,ADVANTRA RX PDP GENERAL (MA),
4560288,ADVANTRA RX PDP GENERAL (MD),
4560287,ADVANTRA RX PDP GENERAL (ME),
4560290,ADVANTRA RX PDP GENERAL (MI),
4560291,ADVANTRA RX PDP GENERAL (MN),
