state,nonmedicaid_rx,nonmedicaid_new_rx,nonmedicaid_qty,medicaid_rx,medicaid_new_rx,medicaid_qty,total_rx,pct_medicaid,state_name,total_overdose_deaths,total_pop_years,avg_annual_overdose_rate,overdose_rate_per_100k,aca_expansion
GA,150691125.327,129783101.707,7879587699.901,4913066.683,4362856.027,304491340.214,155604192.01,3.16,Georgia,13759,110112092,12.44709090909091,12.5,False
CA,383234847.288,302573256.99,24407556283.586,7470704.384,6272720.62,420155504.353,390705551.672,1.91,California,52183,421176418,12.367363636363637,12.39,True
VA,104244452.128,89502249.275,5859423684.563,1604781.574,1431139.281,94981324.507,105849233.702,1.52,Virginia,11039,90412128,12.124363636363636,12.21,False
MS,59536223.956,48917215.515,2967527467.104,1882557.197,1671380.813,87020035.376,61418781.153,3.07,Mississippi,3816,32774290,11.642272727272728,11.64,False
KS,44915295.521,38002110.332,2671225861.5950003,923837.663,828604.271,63914814.804,45839133.184,2.02,Kansas,3623,31692577,11.41990909090909,11.43,False
MN,53666503.969,45695502.615,3051887384.405,1962910.418,1788447.877,127599358.74,55629414.386999995,3.53,Minnesota,6491,59631030,10.84,10.89,True
TX,326289554.0,272379603.593,19081061863.265,6766475.994,6031245.123,435433970.098,333056029.994,2.03,Texas,29749,291733547,10.174454545454545,10.2,False
IA,35123382.414,28429222.425,2149681114.291,2213581.757,1955179.963,141529080.962,37336964.171,5.93,Iowa,3109,33990444,9.129363636363637,9.15,True
NE,23873429.605,19593085.535,1334664473.928,1178594.531,1071410.442,71849257.67,25052024.136,4.7,Nebraska,1559,20536237,7.5782727272727275,7.59,False
SD,9776760.747,8017397.801,578200551.985,564280.18,503260.583,38199572.302,10341040.927,5.46,South Dakota,675,9251683,7.276,7.3,False
ND,8416865.997,6862868.576,466742785.904,394897.958,352899.876,22796000.865,8811763.955,4.48,North Dakota,526,7871912,6.570181818181819,6.68,True
